allusion             [ә'lu:ʒәn]                      n.暗示
alluvial             [ә'lu:viәl]                     adj.冲积的
ally                 ['ælai, ә'lai]                  n.盟国，支持者
almond               ['ɑ:mәnd]                       n.杏树，杏仁
aloft                [ә'lɒft]                        adv.在空中，在头顶上
aloof                [ә'lu:f]                        a.冷淡的，疏远的
alphabetical         [,ælfә'betikәl]                 a.按字母表顺序的
altar                ['ɒ:ltә]                        n.祭坛，圣坛
alter                ['ɒ:ltә]                        v.改变，更改
alteration           [,ɒ:ltә'reiʃәn]                 n.改变，变更
altercation          [,ɒ:ltә'keiʃәn]                 n.争吵，争论
alternate            ['ɒ:ltәnәt]                     a.轮流的，交替的；v.轮流，交替n.候选人，替代性选择
altruism             ['æltruizm]                     n.利他主义；无私
altruistic           [,æltru'istik]                  a.无私的，为他人着想的
aluminium            [,ælju'miniәm]                  n.铝
amalgam              [ә'mælgәm]                      n.混合物
amalgamate           [ә'mælgәmeit]                   v.合并，混合
amass                [ә'mæs]                         v.积聚
amateur              ['æmәtә]                        n.业余爱好者
amateurish           [,æmә'tә:riʃ]                   adj.业余爱好的，不熟练的
ambidextrous         [,æmbi'dekstrәs]                adj.十分灵巧的
ambiguity            [,æmbi'gju:iti]                 n.模棱两可
ambiguous            [æm'bigjuәs]                    adj.含糊的，不坦率的
ambivalence          [æm'bivәlәns]                   n.矛盾心理
ambivalent           [æm'bivәlәnt]                   adj.（对人或物）有矛盾看法的
amble                ['æmbl]                         n.v.漫步，缓行
ambrosia             [æm'brәuʒiә]                    n.神仙食品，美味
ambush               ['æmbuʃ]                        n.v.埋伏，伏击
ameliorate           [ә'mi:ljәreit]                  v.改善，改良
amenable             [ә'mi:nәbl]                     adj.愿服从的，通情达理的
amend                [ә'mend]                        v.修正；通常向更好的方向变化
amendment            [ә'mendmәnt]                    n.改正，修正
amenity              [ә'mi:niti]                     n.礼仪;
amethyst             ['æmiθist]                      n.紫水晶
amiable              ['eimjәbl]                      adj.和蔼的，亲切的
amicable             ['æmikәbl]                      adj.友好的
amity                ['æmiti]                        n.(人或国之间的)友好关系
amnesia              [æm'ni:zjә]                     n：健忘症
amnesty              ['æmnisti]                      n.大赦，特赦
amoral               [ei'mɒrәl]                      adj.不知是非的
amorous              ['æmәrәs]                       adj.容易动情的，情爱的
amorphous            [ә'mɒ:fәs]                      adj.无定形的，散漫的
amortize             [ә'mɒ:taiz]                     v.分期偿还
amphibian            [æm'fibiәn]                     n.两栖动物；水陆两用飞行器
ample                ['æmpl]                         adj.富足的，充足的
amplify              ['æmplifai]                     v.放大，详述
amplitude            ['æmplitju:d]                   n.广大，广阔
amputate             ['æmpjuteit]                    v.切除
amulet               ['æmjulit]                      n.护身符
amuse                [ә'mju:z]                       v.使愉快，逗某人笑
anachronism          [ә'nækrәnizәm]                  n.年代错误，落伍之物
anachronistic        [ә,nækrә'nistik]                a.年代出错的
anaerobic            [,ænєә'rәubik]                  a.厌氧的
anagram              ['ænәgræm]                      n.变形词
analgesia            [,ænæl'dʒi:zjә]                 n.无痛觉，痛觉丧失
analgesic            [,ænæl'dʒi:zik]                 n.镇痛剂，adj.止痛的
analogous            [ә'nælәgәs]                     adj.类似的
analogy              [ә'nælәdʒi]                     n.相似，类比
analyze              ['ænәlaiz]                      v.分析，分解
anarchic             [æ'nɑ:kik]                      adj.无政府的
anarchist            ['ænәkist]                      n.无政府主义者
anarchy              ['ænәki]                        n.无政府;政治上的混乱
anathema             [ә'næθәmә]                      n.被诅咒的人；宗教意义的诅咒
anatomical           [,ænә'tɒmikl]                   a.解剖学的
ancestor             ['ænsestә]                      n.祖先，祖宗
ancestry             ['ænsestri]                     n.家系
anchor               ['æŋkә]                         v.稳固；固定n.锚
anchorite            ['æŋkәrait]                     n.隐士
ancillary            [æn'silәri]                     a.辅助的；n.助手
ancillary            [æn'silәri]                     adj.辅助的，n.助手
anecdote             ['ænikdәut]                     n.短故事，轶事
anemia               [ә'ni:miә]                      n.贫血，盆血症
anesthetic           [,ænis'θetik]                   n.麻醉剂；a.麻醉的
anguish              ['æŋgwiʃ]                       n.极大痛苦
anguished            ['æŋgwiʃt]                      adj.很痛苦的
angular              ['æŋgjulә]                      a.有角的；(指人)瘦削的
anhydrous            [æn'haidrәs]                    a.无水的
animadvert           [,ænimæd'vә:t]                  v.苛责，非难
animate              ['ænimeit]                      a.活的，有生命的；v.赋予生命
animated             ['ænimeitid]                    a.活泼的，生动的
animation            [,æni'meiʃәn]                   n.活泼，有生气；卡通制作
animosity            [,æni'mɒsiti]                   n.憎恶，仇恨
animus               ['ænimәs]                       n.敌意，憎恨
ankle                ['æŋkl]                         n.脚踝
annals               ['ænәlz]                        n.编年史
annexation           [ænek'seiʃәn]                   n.并吞，合并
annihilate           [ә'naiәleit]                    v.消灭
annotate             ['ænәuteit]                     v.注解
annotation           [ænәu'teiʃәn]                   n.注解
announce             [ә'nauns]                       v.宣布，发表；通报…的到来
annoy                [ә'nɒi]                         v.惹恼；打搅，骚扰
annul                [ә'nʌl]                         v.宣告无效，取消
anode                ['ænәud]                        n.(电)阳极，正极
anodyne              ['ænәudain]                     n.止痛药
